종목명,연도,총자산 증가율,유형자산 증가율,매출액 증가율,매출액 영업이익률,매출액 순이익률,총자산 영업이익률,총자산 순이익률,영업이익 이자보상비율,EBITDA대 매출액,유동비율,당좌비율,매출채권/매입채무비율,부채비율,유동부채비율,차입금의존도,총자산회전율,재고자산회전율,매출채권회전율
V,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.6567666870789957,0.5495462895952792,0.24965347948916,0.2088963189470009,36.80967238689548,0.6984078383343539,2.095782652389368,0.6580725647156669,5.346555323590814,1.4148759485908475,0.5211290497345324,0.22046111034694374,0.3801250648072711,,14.028114017961734
MSFT,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.44644299573273716,0.35955972944084985,0.21366830481702115,0.17208583985957596,37.285519591141394,0.5448633741565424,2.976596283783784,0.635464527027027,2.5879250772867795,0.9076606189729474,0.4858711620692202,0.1310656958819751,0.47860153896318164,59.481540930979136,4.3061274682032185
MMM,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),-0.43433563592035757,-0.2835839089800894,-0.21132858837485172,-0.13797943851324634,-11.359192348565356,-0.34047135310849247,1.1244780535919776,0.31053756370212066,0.011887608069164265,9.509465363012273,0.6653613930696535,0.3311783313562673,0.48655595096876236,3.7989350912778903,745.7575757575758
IBM,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.004930488199159392,0.12127384416424183,0.002255233250271737,0.055471343749306797,0.1897946484131923,0.238360814742968,1.303492726670573,0.34422846661401674,1.3954501452081316,4.998357963875205,0.6970380367226622,0.4431718191968412,0.4574056683993759,20.808785529715763,10.72840790842872
CSCO,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.26371100740376857,0.2212884662619741,0.14757687625181637,0.12383654714684052,35.20140515222482,0.31894101547422715,2.2338297059946544,0.4960672012218404,0.2654561175961954,1.2963948323675962,0.455486182368389,0.08238424380473629,0.5596159132859443,5.433863885839736,92.83061889250814
AMZN,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0641144079960333,0.05293283575597832,0.06981475938422367,0.057639044129626754,11.581395348837209,0.15360004175474307,2.2072431734363165,0.7800722703058449,0.6148786199268071,1.6147566563467493,0.4940870424168428,0.25691005467420913,1.0889090543976174,14.436040578666187,11.000038275314337
HD,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.1420655142825328,0.09918844035134834,0.28340520057493795,0.19787011629426368,11.162635100360268,0.1644996692190294,0.8743992070468104,0.13255783508817864,0.27428514496363454,72.30459770114942,0.7083565164401346,0.6826473278452895,1.994890892460473,4.821462623951183,55.45550308754086
TRV,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0,0.10767209442577755,0.0,0.03753312961280586,0.0,0.0,,,5.959079967905857,3.7799669824863624,0.0,0.060312788593652626,0.3485873458018305,,2.0837484852564967
MMM,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.19621566632756868,0.17041709053916582,0.12094913213604896,0.1050466539580616,4.048698572628044,0.23637843336724312,0.9703050408609111,0.35892871591552716,0.011654135338345865,9.363352420614264,0.6871073553121699,0.3426055984749674,0.6164091501956457,3.9067063277447267,792.741935483871
MSFT,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.417728806361041,0.3414623787839464,0.21487416742722876,0.175643726819038,44.98119918699187,0.4962131043106906,2.2412405023424276,0.8207550883823471,2.6906880353688862,0.9977209137681055,0.49381540001846874,0.14555459541332505,0.5143867603938094,26.3452,4.3525098586920805
V,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.6431262058616359,0.5289866168499066,0.2320467629476569,0.19086398744737512,32.608695652173914,0.7003950632407436,1.9871285056509,0.7241523650062788,6.109333333333334,1.3364831022642192,0.5537997913688522,0.22611299572370966,0.3608106166918971,,14.252728066346574
